CID,INTENSITY/STRENGTH,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
126,30,53,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,23,35,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,28
126,74,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
126,0,92,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,12,0
126,0,76,0,0,0,0,0,90,0,61,0,32,0,0,46,0,0,0,0,0,33
126,0,53,3,13,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0
126,2,45,0,4,4,0,0,0,7,0,0,0,8,0,0,0,11,0,0,0,18
126,28,37,0,23,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,9,40
126,33,69,0,42,12,0,0,0,0,0,0,0,0,15,0,0,0,0,0,9,0
126,64,57,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,49,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,0,97,0,100,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,96,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
126,18,43,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
176,0,51,0,0,0,0,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,83,0,35,32,0,0,25,0,0,0,0,37,0,0,0,0,0,0,34,0
176,20,100,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,61,0,17,0,0,0,0,0,0,0,0,0,20,59,0,0,0,0,0,0
176,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,76,0,44,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,73,0
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,37,17,0,0,0,71,18,0,71,44,0,54,0,0,0,79,0,0,0,0
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,37,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,48,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0
176,0,2,0,0,0,0,0,0,0,0,36,0,5,59,0,0,0,0,0,0,0
176,5,57,49,68,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0
176,3,41,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,0,0
176,0,55,0,0,0,0,0,0,0,0,0,0,14,25,0,0,0,33,8,0,0
176,0,33,0,0,0,0,80,0,0,79,0,50,0,35,23,87,0,0,31,0,76
176,0,21,0,10,0,0,0,0,12,7,0,16,0,0,0,0,0,0,0,0,0
176,39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,100,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,36,0,0,0,0,0,0,0,31,0,25,0,0,0,0,0,0,0,0,0
176,4,28,0,0,0,0,0,0,38,41,0,0,0,0,0,0,0,0,0,0,0
176,18,44,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
176,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,37,49,0,0,0,0,0,18,0,0,20,0,0,0,0,0,0,0,8,0,0
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,24,40,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
176,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
176,0,81,0,0,0,0,0,58,24,42,0,0,0,0,0,7,0,0,0,0,0
176,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
177,0,45,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
177,83,0,27,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19
177,83,77,33,32,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
177,100,1,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,85,0,0
177,60,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
177,100,0,0,0,0,0,0,0,0,44,0,0,0,25,47,28,45,0,0,0,0
177,33,29,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0
177,100,30,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,100
177,29,49,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
177,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,63,51,0,0,0,0,0,18,0,40,0,0,0,0,0,0,0,0,0,0,0
177,17,27,0,18,0,0,0,0,100,83,0,0,0,0,0,35,72,0,0,0,0
177,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,69,31,0,42,0,0,0,32,19,32,15,12,0,0,0,0,0,0,0,0,0
177,13,91,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
177,55,76,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,35,52,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,59,60,30,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,22,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
177,13,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,74,54,0,0,0,0,0,0,0,0,11,0,0,47,0,0,0,39,37,0,0
177,65,43,0,37,0,0,0,43,0,67,0,0,0,33,27,12,0,0,0,0,32
177,76,24,0,43,0,0,0,0,54,0,0,8,0,3,0,0,0,0,0,0,50
177,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,29,60,33,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
177,8,56,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,2
177,73,73,42,34,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,21,15,0,0,0,0,0,0,0,9,0,49,0,0,0,68,0,0,0,0,68
177,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,29,36,0,41,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,75,0
177,62,37,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
177,20,33,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,30
177,69,36,55,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,13,85,0,29,0,0,0,0,0,0,0,0,32,0,0,0,0,0,30,8,5
177,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,0,49,0,0,10,0,0,0,3,0,0,0,9,0,0,0,3,0,0,0,5
177,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,64,55,0,31,6,0,0,0,0,54,0,78,0,0,0,0,0,0,0,0,55
177,45,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
177,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
177,0,48,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0
196,0,79,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,36,73,0,0,0,0,0,44,0,0,0,0,47,0,0,0,0,0,0,0,0
196,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,0,25,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,0,98,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,28
196,13,81,0,53,19,0,0,0,62,0,0,0,0,36,0,61,57,0,57,33,54
196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,0,26,0,50,0,0,45,39,0,47,53,51,0,0,0,0,0,0,0,0,0
196,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,11,32,27,0,0,0,0,42,0,29,0,0,0,0,0,0,0,0,0,0,0
196,0,32,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
196,0,49,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
196,1,93,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,21,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,69,38,0,0,0,0,0,0,0,40,0,0,0,67,74,0,0,0,0,0,0
196,0,42,0,33,0,0,16,59,0,83,0,52,0,0,0,7,0,0,0,20,74
196,6,63,29,45,8,0,0,8,0,0,0,0,32,8,0,0,0,13,0,0,11
196,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
196,0,22,0,0,0,0,0,0,0,0,0,0,0,0,100,14,52,0,0,0,0
196,13,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
196,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,0,81,0,0,0,0,0,0,0,0,53,0,52,68,0,0,0,0,0,100,0
196,19,51,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,1,35,0,0,0,0,0,0,69,0,0,0,0,0,0,0,79,0,0,0,0
196,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,0,44,0,0,0,0,0,5,24,0,12,0,0,0,0,0,0,0,0,0,0
196,22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,0,52,0,7,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,0
196,0,42,0,0,0,0,0,0,22,0,0,0,24,0,0,0,0,0,0,0,41
196,28,65,0,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0
196,0,73,0,33,0,0,0,0,0,0,0,0,0,14,0,0,0,25,14,0,0
196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,100,0,69,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
196,10,47,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,0,0
239,21,52,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
239,0,70,0,25,29,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,43
239,9,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0
239,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
239,0,56,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
239,74,0,0,0,0,37,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
239,46,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
239,0,47,0,0,0,0,28,0,0,0,48,0,0,0,0,0,0,40,0,0,0
239,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
239,69,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
239,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
239,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
239,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
239,0,24,0,0,0,0,7,0,19,19,15,23,0,0,0,0,0,0,0,6,29
239,63,66,0,26,20,0,0,0,0,0,3,31,10,6,0,0,11,13,5,1,34
239,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,21,56,0,0,0,0,3,17,0,76,0,0,0,0,0,0,0,0,0,0,0
239,0,32,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
239,33,61,0,0,0,0,0,0,11,28,0,30,0,0,0,0,0,0,0,0,0
239,0,93,12,27,12,0,0,0,0,0,0,0,10,0,0,0,0,0,0,9,0
239,31,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
239,0,38,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
239,81,42,0,0,0,0,49,0,0,83,0,53,0,91,0,0,0,0,22,0,85
239,37,70,13,57,0,0,0,0,0,0,9,7,22,10,0,7,0,28,0,0,21
239,0,38,0,0,0,0,0,7,0,0,49,0,0,0,0,0,0,0,0,0,63
239,21,43,0,0,0,0,0,34,69,0,0,0,0,0,0,0,0,25,50,0,0
239,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0
239,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,7
239,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
239,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
239,0,83,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0
239,18,46,0,6,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,16,0
239,0,52,0,0,0,0,0,0,45,0,0,0,0,0,0,0,14,67,0,0,0
239,41,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,35,95,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0
239,0,69,0,35,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,33,0
239,0,44,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
239,80,66,0,58,0,0,0,0,0,0,0,0,30,31,0,0,0,0,0,41,0
239,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
239,61,63,0,6,8,0,0,7,5,0,0,0,19,0,0,0,24,0,0,0,66
239,62,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0
239,55,64,0,40,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
239,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
239,39,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,59,46,0,0,0,0,0,17,0,0,5,0,0,5,12,0,0,0,0,0,0
239,24,48,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,0,0
240,74,81,48,51,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,89,96,65,67,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,68,80,0,27,27,0,0,0,0,0,0,0,39,0,0,0,0,0,0,50,0
240,95,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,68
240,84,85,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,88,100,67,100,64,0,0,45,0,0,0,0,37,0,0,0,0,0,0,82,0
